Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
62,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,647,1658,20777,0x97B0 0x8002 0x04 0x00,10512742,10513389
63,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20753,0x681,10513471,10513981
64,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454258,20801,0x9690 0x8002 0x03 0x00,10968239,10968884
65,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,96,20777,0x7A1,10968980,10969492
66,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1644,20789,0x99B0 0x8002 0x04 0x00,10971136,10971784
67,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,20765,0x881,10971865,10972375
68,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454271,20801,0x9890 0x8002 0x03 0x00,11426646,11427291
69,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,99,20753,0x9A1,11427390,11427902
70,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,647,1607,20789,0x9BB0 0x8002 0x04 0x00,11429509,11430156
71,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,81,20765,0xA81,11430237,11430747
72,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,645,454312,20801,0x9A90 0x8002 0x03 0x00,11885059,11885704
73,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,96,20765,0xBA1,11885800,11886312
74,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,648,1644,20789,0x9DB0 0x8002 0x04 0x00,11887956,11888604
75,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,20753,0xC81,11888685,11889195
76,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,645,454314,20801,0x9C90 0x8002 0x03 0x00,12343509,12344154
77,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,511,97,20765,0xDA1,12344251,12344762
78,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,648,1699,20801,0x9FB0 0x8002 0x04 0x00,12346461,12347109
79,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,511,81,20765,0xE81,12347190,12347701
80,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,645,454255,20801,0x9E90 0x8002 0x03 0x00,12801956,12802601
81,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,97,20777,0xFA1,12802698,12803210
82,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,647,1563,20801,0x91B0 0x8002 0x04 0x00,12804773,12805420
83,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,20789,0x81,12805502,12806012
84,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454380,20801,0x9090 0x8002 0x03 0x00,13260392,13261037
