Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
471,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,511,81,20777,0x481,47365550,47366061
472,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,646,454376,20789,0x9090 0x8002 0x03 0x00,47820437,47821083
473,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,513,96,20753,0x1A1,47821179,47821692
474,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,649,1773,20789,0x97B0 0x8002 0x04 0x00,47823465,47824114
475,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,81,20765,0x681,47824195,47824705
476,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,645,454255,20789,0x9290 0x8002 0x03 0x00,48278960,48279605
477,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,513,97,20765,0x3A1,48279702,48280215
478,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,649,1494,20789,0x99B0 0x8002 0x04 0x00,48281709,48282358
479,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,507,84,20777,0x881,48282442,48282949
480,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,454551,20789,0x9490 0x8002 0x03 0x00,48737500,48738145
481,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,96,20777,0x5A1,48738241,48738753
482,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,649,1762,20789,0x9BB0 0x8002 0x04 0x00,48740515,48741164
483,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,81,20765,0xA81,48741245,48741755
484,VBUS_DN,SOP,C_RSVD0,0,UFP,SNK,0,v1,0,134993,747,0x0,48876748,48876748
